interview__key	interview__id	interview__status	responsible	interviewers	rejections__sup	rejections__hq	entities__errors	questions__comments	interview__duration	n_questions_unanswered
67-89-67-87	5569d29276b94681ae891a0fd129f0a3	100	ms_int2	1	0	0	0	0	00.00:01:40	0
84-17-85-49	5db62788b4b14e3190f12289873cbdce	100	ms_int10	1	0	0	0	0	00.00:04:35	0
00-27-23-83	612d8e997c97497494bf1358b2b03dd5	100	ms_int21	1	0	0	0	0	00.00:04:15	0
86-75-84-77	660e40fb07464a0ab826c988b1a259fc	100	ms_int21	1	0	0	0	0	00.00:04:39	0
81-60-07-57	6b75df41dacd4897b416309cee1e80bb	100	ms_int2	1	0	0	0	0	00.00:03:30	0
30-76-42-16	72905f1847364c31bbe36d901e87b0b1	100	ms_int21	1	0	0	0	0	00.00:02:55	3
53-82-58-52	732c70fc4b9b4472b4f25450390b8593	100	ms_int11	1	0	0	0	0	00.00:03:06	0
38-26-56-50	7336f918fbf643d1bb97cba18aa31e7e	100	ms_int21	1	0	0	0	0	00.00:06:23	0
01-55-89-53	79c27922b7a54050b7cc173f0342f287	100	ms_int2	1	0	0	0	0	00.00:01:21	0
79-82-07-89	7c75dcdb0936441b9802af71419253a5	100	ms_int22	1	0	0	0	0	00.00:03:37	0
01-76-92-66	83179b3de9e24d079a635bfb9bf14b20	100	ms_int11	1	0	0	0	0	00.00:04:26	0
85-53-06-96	8a5d1f956b934456abe03576dfe73176	100	ms_int22	1	0	0	0	0	00.00:07:13	0
77-18-87-27	8a987739db80422681fc77d9b60159b5	100	ms_int2	1	0	0	0	0	00.00:02:04	0
97-84-41-70	8b16f2e56e0a4fb89a3bf2109a33db22	100	ms_int11	1	0	0	0	0	00.00:02:17	0
27-47-48-30	8cb10b71d54e4e14b01318db6e553602	100	ms_int21	1	0	0	0	0	00.00:08:53	0
70-30-98-07	92daf136779345d48c8eb4bb42824d84	100	ms_int2	1	0	0	0	0	00.00:01:30	0
27-89-09-05	976d97f9582e42cf86a7f5d0cf1c7840	100	ms_int2	1	0	0	0	0	00.00:03:39	0
32-58-07-34	9a9233cf5c504883b8ecb889f72a2521	100	ms_int10	1	0	0	0	0	00.00:01:53	0
69-64-58-10	9f31b04963fb43a692dd8fe09c8501d5	100	ms_int22	1	0	0	0	0	00.00:02:42	0
09-17-57-70	a05ecfd6170e42b68fab1f719b75de47	100	ms_int2	1	0	0	0	0	00.00:02:47	0
38-98-55-67	a15402658c70445ea0c194549fed4d67	100	ms_int21	1	0	0	0	0	00.00:02:21	1
59-33-71-15	a27976b5f7104796bda275c57e1458c2	100	ms_int20	1	0	0	0	0	00.00:04:45	0
40-89-38-41	a48523f71ced48a6b9879af6dbc95e75	100	ms_int10	1	0	0	0	0	00.00:05:57	0
42-83-05-68	a783a22b4c0d40e8baa1316e2a2c4fc4	100	ms_int10	1	0	0	0	0	00.00:13:00	0
78-85-39-11	a7a95c6eab6348f5963cd2059702b90d	100	ms_int2	1	0	0	0	0	00.00:01:37	0
13-48-64-45	a8a93bacfd2b4e3ab619b24d903aeb76	100	ms_int21	1	0	0	0	0	00.00:04:35	1
41-61-63-34	a92ce5ec11a0472493ad8b0d5ca71846	100	ms_int10	1	0	0	0	0	00.00:05:16	0
44-92-40-11	a9531222994e4138b2da08bc66a467dd	100	ms_int21	1	0	0	0	0	00.00:04:12	0
68-80-55-78	aa12f69dc4b34c2f89d8a2971e20d0a5	100	ms_int10	1	0	0	0	0	00.00:06:08	0
21-60-72-58	aa8aff7d531049a882380dc6fa97e697	100	ms_int7	1	0	0	0	0	00.00:04:18	0
51-06-29-70	abc49bd638834236a453a4c2a46edcf9	100	ms_int22	1	0	0	0	0	00.00:00:56	0
71-14-69-85	b049af3c6077408eb4ec8f7619e66a0e	100	ms_int10	1	0	0	0	0	00.00:05:37	0
55-72-16-22	b1a0f19e3502473abf531032ed8d5244	100	ms_int2	1	0	0	0	0	00.00:01:04	0
21-96-53-77	b523c25825f44c88a9de96a9567d9d63	100	ms_int21	1	0	0	0	0	00.00:03:30	3
03-24-44-92	bb4e9903e1e04036bf1613b55918d3c5	100	ms_int22	1	0	0	0	0	00.00:07:31	0
81-22-87-68	bbcda5a8302b4c81bf073e217e18b94d	100	ms_int21	1	0	0	0	0	00.00:02:13	2
46-92-63-61	c295b64b188f4104991b8d9191bf9b2b	100	ms_int11	1	0	0	0	0	00.00:01:53	0
22-49-63-88	c2e30404b12f4bb5b1b15e8007bc01a5	100	ms_int21	1	0	0	0	0	00.00:04:26	1
21-73-21-43	c3ad3bad73ed47839133ffdf25e6c283	100	ms_int2	1	0	0	0	0	00.00:10:26	0
13-18-59-59	c5c844b5c52149d3b351f2b6cf1f40ef	100	ms_int2	1	0	0	0	0	00.00:03:14	0
09-61-17-86	cc98049c681f4ca1b73e3bc9d7b0ad13	100	ms_int2	1	0	0	0	0	00.00:01:46	0
34-82-70-72	cfb7ffcc9cb447a199710f8ba263f5e5	100	ms_int7	1	0	0	0	0	00.00:03:26	0
06-95-67-50	d31727c4de154abeb8e0e260aa90ce54	100	ms_int10	1	0	0	0	0	00.00:14:52	0
12-23-17-17	dccd6a6f501e48caaaee4b8051c85db3	100	ms_int10	1	0	0	0	0	00.00:02:18	0
68-74-56-83	de20c82d6613476ca276baee8da67ae0	100	ms_int22	1	0	0	0	0	00.00:03:42	0
00-84-01-47	dfba681eadf146fc9add80c794140bfe	100	ms_int7	1	0	0	0	0	00.00:03:37	0
46-29-88-47	e239378799854bee81e6576d077d4ead	100	ms_int10	1	0	0	0	0	00.00:09:39	0
62-17-33-87	e2b6bead17bc475098a969cff46bc2bd	100	ms_int22	1	0	0	0	0	00.00:03:28	0
50-33-33-15	e352b7fe81bf4b7988972de1051e192a	100	ms_int21	1	0	0	0	0	00.00:05:33	0
24-36-59-87	e548d3230be448b4b4439212482f7956	100	ms_int10	1	0	0	0	0	00.00:01:40	0
02-83-24-27	ea959493d0cf4b0d8fe819e23a58900a	100	ms_int22	1	0	0	0	0	00.00:05:21	0
91-89-72-37	eb12e813f99f40ee96d62eed672d03d5	100	ms_int21	1	0	0	0	0	00.00:07:31	0
13-93-05-97	eb526cbdccbe47208b226e70f145eeec	100	ms_int7	1	0	0	0	0	00.00:06:10	0
13-59-88-64	eec5a81960894f71ae9a4ac5d1d233bd	100	ms_int20	1	0	0	0	0	00.00:04:18	0
78-97-34-81	ef680ae55ebd4f38b6c379ec64c7b906	100	ms_int22	1	0	0	0	0	00.00:04:30	0
22-19-25-96	f1896c1464264e6db34e958685fe7de5	100	ms_int10	1	0	0	0	0	00.00:03:50	0
58-43-29-31	f5d6362503c341078587c542e815ac46	100	ms_int22	1	0	0	0	0	00.00:03:20	0
68-06-43-13	f8c9f726c5684cba8f8d09e6b317ffe1	100	ms_int7	1	0	0	0	0	00.00:03:34	0
67-95-14-97	f9e3cce8359747d2a74671d963f46dd0	100	ms_int10	1	0	0	0	0	00.00:03:14	0
57-35-73-82	fb5aa52a573e499695c65a4255bb1603	100	ms_int7	1	0	0	0	0	00.00:05:18	0
86-03-01-55	fcbb597f96eb474e8524c79c639c8277	100	ms_int7	1	0	0	0	0	00.00:08:46	1
